model,total_samples,avg_similarity,std_similarity,min_similarity,max_similarity,accuracy_95,accuracy_90,avg_input_length,avg_levenshtein_distance
anthropic/claude-3-7-sonnet-20250219,720,0.9383,0.2279,0.0,1.0,0.9153,0.9264,181.1597,inf
anthropic/claude-sonnet-4-20250514,720,0.9208,0.2548,0.0,1.0,0.8972,0.9083,188.8944,inf
openai/gpt-4o,720,0.9345,0.2272,0.0,1.0,0.8903,0.9264,183.6944,inf
openrouter/qwen/qwen3-max,720,0.9221,0.2496,0.0,1.0,0.8792,0.9264,169.1097,inf
openai/gpt-4.1,720,0.9298,0.2323,0.0,1.0,0.8708,0.9194,172.5014,inf
openrouter/moonshotai/kimi-k2,720,0.925,0.226,0.0,1.0,0.8389,0.8972,196.1625,inf
openrouter/deepseek/deepseek-chat,720,0.8932,0.2752,0.0,1.0,0.8167,0.8639,182.8556,inf
anthropic/claude-3-5-haiku-20241022,720,0.8739,0.3074,0.0,1.0,0.8125,0.8514,194.5083,inf
openrouter/qwen/qwen3-vl-235b-a22b-instruct,720,0.9151,0.2395,0.0,1.0,0.8,0.8944,194.2208,inf
openai/gpt-4.1-mini,720,0.8809,0.2962,0.0,1.0,0.7792,0.8556,169.0528,inf
openrouter/google/gemini-2.5-flash,720,0.8708,0.2989,0.0,1.0,0.7208,0.8194,164.9611,inf
openrouter/x-ai/grok-4-fast:free,720,0.7603,0.3962,0.0,1.0,0.6347,0.7194,160.5889,inf
openrouter/meta-llama/llama-4-maverick-17b-128e-instruct,720,0.7942,0.355,0.0,1.0,0.5694,0.7014,164.4514,inf
openai/gpt-4o-mini,720,0.6981,0.3949,0.0,1.0,0.4153,0.5361,154.1486,inf
openrouter/qwen/qwen-2.5-72b-instruct,720,0.6942,0.3752,0.0,1.0,0.3569,0.4653,182.8111,inf
openrouter/meta-llama/llama-4-scout-17b-16e-instruct,720,0.5335,0.4248,0.0,1.0,0.2333,0.3222,140.4667,inf
openrouter/meta-llama/llama-3.1-8b-instruct,720,0.0831,0.1107,0.0,1.0,0.0014,0.0014,141.3444,inf
